RANK,GENRES,MOVIES,TOTAL GROSS,AVERAGE GROSS,MARKET SHARE
1,Adventure,"1,102",64529536530,58556748,27.14%
2,Action,"1,098",49339974493,44936224,20.75%
3,Drama,"5,479",35586177269,6495013,14.97%
4,Comedy,"2,418",33687992318,13932172,14.17%
5,Thriller/Suspense,"1,186",19810201102,16703374,8.33%
6,Horror,716,13430378699,18757512,5.65%
7,Romantic Comedy,630,10480124374,16635118,4.41%
8,Musical,201,4293988317,21363126,1.81%
9,Documentary,"2,415",2519513142,1043277,1.06%
10,Black Comedy,213,2185433323,10260250,0.92%
